Latitude,Longitude,Magnitude
65.1933,-149.0725,1.7
38.791832,-122.7808304,2.1
38.8180008,-122.79216770000001,0.48
33.6016667,-116.72766670000001,0.78
37.378334,-118.52083590000002,3.64
62.0634,-150.2055,1.3
61.9313,-147.2705,2.2
36.1525,-118.22216670000002,1.92
38.835998499999995,-122.8034973,0.56
37.378501899999996,-118.5214996,2.58
65.1234,-148.9882,1.8
38.7921677,-122.7821655,1.01
19.37,-155.2225,1.7
63.133,-150.5055,1.3
36.838001299999995,-121.2771683,1.5
38.8248329,-122.8458328,0.56
33.5005,-116.7035,0.7
33.1701667,-117.05216670000001,1.52
33.4801667,-116.58416670000001,0.59
38.8074989,-122.81216429999999,1.19
36.1628,-96.9944,2.6
65.1533,-149.0964,1.2
33.3903333,-116.355,0.51
36.8073349,-121.4250031,1.71
36.670333899999996,-121.293663,1.75
38.799835200000004,-122.7391663,0.67
36.1065,-117.92816670000002,1.03
34.8214989,-116.41249850000001,3.47
59.2086,-152.3266,2.1
62.0587,-145.2546,1.6
33.7723333,-116.14033329999998,0.52
38.787166600000006,-122.7713318,1.5
61.4868,-149.9198,1.4
38.8238335,-122.7961655,1.02
32.6888333,-116.00383329999998,1.88
33.9363333,-116.7345,0.79
1.9486,126.5232,4.6
38.823333700000006,-122.796669,0.52
38.825164799999996,-122.7955017,1.01
38.8248329,-122.7961655,2.21
64.718,-149.2138,1.9
63.118,-149.8473,1.2
38.8014984,-122.80183410000001,1.68
23.3611,100.4816,5.5
38.8226662,-122.8036652,0.55
33.7126667,-116.81716670000002,0.9
42.246498100000004,-110.9073334,3.03
33.3573333,-116.367,1.51
38.8305016,-122.8105011,0.89
32.6786667,-115.8625,1.8
61.8289,-150.8024,2.0
38.831665,-122.80982970000001,1.36
38.801998100000006,-122.80966950000001,2.08
33.9928333,-116.65233329999998,1.08
63.0956,-151.325,1.1
31.0427,-103.3186,2.9
32.883166700000004,-116.2555,1.28
36.7423,-98.0404,3.2
38.5223351,-122.4384995,1.97
38.83366779999999,-122.7728348,2.24
-7.6115,128.2589,4.5
38.8948,26.2763,5.0
61.6056,-149.8719,1.8
62.4961,-149.2077,1.3
64.6865,-149.2471,1.4
63.1198,-150.1069,1.2
35.3485,-117.9108333,2.21
19.2015,-155.4703,2.0
19.1533,-155.454,2.1
37.367668200000004,-118.60466770000001,1.21
63.0885,-147.7906,0.6
36.7948341,-121.51933290000001,1.17
36.8068352,-121.517334,0.93
33.460666700000004,-116.5615,2.19
60.7351,-151.8715,3.5
-2.3266,100.7277,4.4
33.9763333,-116.88799999999999,1.19
60.5759,-152.1775,1.7
41.821999999999996,-119.6251,2.68
39.377334600000005,-122.89800259999998,2.03
39.378334,-122.9038315,2.45
36.7989998,-121.50716399999999,0.89
63.5369,-148.1654,1.2
63.0604,-150.7642,1.5
62.07,-149.9157,1.4
33.2865,-116.51566670000001,1.4
36.7999992,-121.5084991,1.04
36.796833,-121.51017,1.19
36.8009987,-121.50966640000001,0.99
56.9106,-154.6934,3.3
59.6338,-153.0197,3.4
36.7965012,-121.5121689,3.92
38.9575005,-123.0441666,1.63
38.8248329,-122.85299679999999,1.04
37.700164799999996,-118.8799973,0.74
61.4438,-151.2258,2.4
37.8769,-115.1598,1.38
38.8739,26.2633,5.3
33.6883333,-116.7505,0.76
62.2351,-148.8985,1.8
36.0258331,-117.86966709999999,1.55
38.4973,-118.3408,1.07
7.0172,-82.134,4.4
38.8068352,-122.7959976,1.17
39.4979,-115.0454,1.52
63.9294,-148.8796,2.1
18.0729,-66.077,1.9
35.6185,-114.6223,1.33
62.7714,-148.8948,0.6
37.3003,-117.62899999999999,1.57
59.8701,-152.299,2.2
41.8528,-119.6218,2.04
60.0103,-150.4246,1.9
65.0104,-147.335,1.4
34.0441667,-116.43366670000002,0.98
37.6343333,-118.87766670000002,0.73
38.8095016,-122.8174973,0.63
59.6757,-151.2322,1.7
34.0268333,-116.72133329999998,1.35
62.9655,-150.8143,1.3
38.822834,-122.7763367,0.88
38.8216667,-122.77466580000001,1.04
38.8216667,-122.77799990000001,1.32
37.4831,-114.0355,1.27
46.509666700000004,-122.00283329999999,0.8
-7.2428,121.1206,4.3
33.0546667,-116.42483329999999,1.65
44.968166700000005,-121.03166670000002,2.14
60.1228,-141.3522,1.6
39.253666700000004,-122.74233329999998,2.31
39.9259987,-120.55916599999999,1.7
-40.758,176.0118,4.8
-13.2966,166.2585,5.4
60.1421,-141.4045,1.3
64.5588,-17.5657,5.1
61.698,-147.555,3.3
38.8073349,-122.79166409999998,0.89
37.3263333,-122.098,1.76
36.4192,-97.289,2.5
58.5912,-141.2961,2.1
33.8661667,-117.73566670000001,2.9
44.558833299999996,-121.22266670000002,1.43
44.7576667,-111.2383333,0.68
23.3688,100.5053,5.4
36.7032,-98.2949,2.6
38.841834999999996,-122.840332,0.69
41.8655,-119.6301,1.7
36.7026,-98.2923,2.8
44.6291667,-110.66233329999999,1.78
51.2821,100.7216,4.9
38.819831799999996,-122.7676697,0.46
36.138000000000005,-117.84233329999999,1.46
33.0436667,-116.43783329999998,1.41
63.285,-151.2222,1.7
38.806667299999994,-122.7923355,0.5
65.125,-150.0488,1.6
37.503,-119.3485,0.96
37.45,-118.81566670000001,0.73
55.3532,-162.3355,2.8
36.0903333,-117.89116670000001,1.09
37.2544,71.6544,4.9
35.5067,135.7479,5.0
33.5458333,-115.8805,1.15
33.0446667,-116.4641667,1.05
19.4108,-155.2803,1.7
39.7266,-119.4833,0.72
40.417,-121.4461667,1.06
41.8363,-119.6212,1.95
1.9905,126.5787,5.2
33.714833299999995,-116.818,0.33
61.0209,-152.3066,2.5
60.1613,-142.0432,1.8
38.751335100000006,-122.7331696,0.65
44.1453333,-122.90266670000001,1.34
37.4196667,-118.60366670000002,0.92
19.418,-155.6053,0.7
2.0143,126.6357,4.8
34.0241667,-117.23333329999998,0.9
62.0624,-149.9289,1.8
33.4675,-116.568,1.23
41.8892,-119.6534,1.04
19.4147,-155.2535,1.9
61.1643,-146.9926,2.1
38.8253326,-122.8024979,1.19
40.5878,-119.6194,2.51
39.7171,-119.47200000000001,0.36
57.1757,-157.5379,2.8
17.691,-65.9018,2.3
34.0208333,-118.52116670000001,1.41
-55.3967,-28.1311,4.9
37.6577,72.0907,4.3
64.4855,-147.1753,2.2
37.1025,-112.88716670000001,0.87
63.6518,-150.1221,1.2
33.8136667,-116.93299999999999,0.84
34.5248333,-118.92,1.54
33.3721667,-116.40100000000001,0.46
38.788166700000005,-122.77683329999999,2.24
31.0062,141.9846,5.0
34.0398333,-117.5861667,1.25
61.5514,-141.0178,1.4
61.6999,-149.9768,1.6
60.0524,-152.1733,1.9
41.8364,-119.6287,1.14
61.4419,-149.9192,1.8
41.8442,-119.6173,1.24
38.798831899999996,-122.8320007,0.79
61.7859,-150.8946,3.6
37.663000000000004,-118.84933329999998,0.36
41.8447,-119.6299,1.73
37.6415,-118.9435,0.1
-6.843999999999999,128.3235,5.1
32.6473333,-115.723,1.13
41.8308,-119.6141,1.94
35.4851667,-118.294,0.61
13.5224,-90.8759,4.8
41.8448,-119.6265,1.29
38.757,-122.7116699,0.55
41.8289,-119.6288,1.57
32.8898333,-116.25083329999998,1.58
60.3757,-152.7073,2.5
19.5565,-155.6017,0.9
37.5131667,-119.34700000000001,0.96
33.950166700000004,-116.34716670000002,0.88
60.0042,-153.321,2.4
35.916166700000005,-117.70566670000001,0.76
38.8231659,-122.7961655,1.0
37.668499,-118.8710022,0.91
62.8266,-149.1537,1.4
37.9092,-114.3049,0.9
38.7949982,-122.72799679999999,1.54
38.7936668,-122.72599790000001,1.19
37.3575,-119.99516670000001,1.61
38.819000200000005,-122.7613297,1.8
38.8363342,-122.7738342,0.82
35.6757,-97.3797,2.6
19.4252,-154.9442,1.3
38.8383331,-122.8396683,0.9
38.8388329,-122.8401642,1.35
46.4428333,-122.446,0.89
38.8226662,-122.84366609999998,1.03
37.634666700000004,-118.8695,0.42
62.1457,-151.3079,1.4
34.2125,-118.69033329999999,1.39
33.715166700000005,-116.75216670000002,0.81
18.7569,-64.7425,3.4
19.352999999999998,-155.5025,1.0
38.823333700000006,-122.80866999999999,0.85
36.113,-120.17716670000001,1.72
37.3193321,-118.3199997,1.63
59.4356,-150.7747,1.5
34.6166667,-120.03316670000001,1.59
38.2588348,-122.1568298,1.59
61.1302,-149.5646,1.5
62.1398,-141.6091,1.8
38.8053322,-122.7956696,0.89
38.83900070000001,-122.82766720000001,0.43
34.6236667,-120.023,1.75
37.8636,-116.0252,1.06
36.0362,-97.0879,4.0
64.7287,-17.756,4.6
38.833168,-122.77349850000002,0.82
3.5593,128.0713,4.5
38.0348,-118.6525,1.26
38.82249829999999,-122.79533390000002,0.51
36.9184,-98.0254,2.7
18.4841,-66.0595,3.0
4.8512,97.2717,4.2
41.8483,-119.6148,1.02
41.8445,-119.6246,1.88
63.4766,-151.0069,1.7
19.4263,-155.6113,2.4
48.6433333,-123.9015,2.24
63.0004,-148.8303,0.3
37.4733315,-118.8399963,1.16
22.7598,-108.9145,4.1
28.3981,57.0553,4.1
65.0564,-147.3078,1.2
33.017166700000004,-116.11266670000002,1.74
